source language,target language,translation engine,is preferred engine?
languages,simple,Google,False
languages,sk,Google,False
languages,sl,Google,False
languages,sm,Google,False
languages,sn,Google,False
languages,so,Google,False
languages,sq,Google,False
languages,sr,Google,False
languages,st,Google,False
languages,su,Google,False
languages,sv,Google,False
languages,sw,Google,False
languages,ta,Google,False
languages,te,Google,False
languages,tg,Google,False
languages,th,Google,False
languages,ti,Google,False
languages,tk,Google,False
languages,tl,Google,False
languages,tr,Google,False
languages,ts,Google,False
languages,tt,Google,False
languages,tw,Google,False
languages,ug,Google,False
languages,uk,Google,False
languages,ur,Google,False
languages,uz,Google,False
languages,vi,Google,False
languages,wuu,Google,False
languages,xh,Google,False
languages,yi,Google,False
languages,yo,Google,False
languages,yue,Google,False
languages,zh,Google,False
languages,zu,Google,False
en,wuu,LingoCloud,False
en,zh,LingoCloud,False
ja,wuu,LingoCloud,False
ja,zh,LingoCloud,False
simple,wuu,LingoCloud,False
simple,zh,LingoCloud,False
zh,en,LingoCloud,False
zh,ja,LingoCloud,False
zh,simple,LingoCloud,False
zh,wuu,LingoCloud,False
en,as,OpusMT,False
en,bcl,OpusMT,False
en,ts,OpusMT,False
en,qqq,TestClient,False
handler,t,Yandex,False
handler,r,Yandex,False
handler,a,Yandex,False
handler,n,Yandex,False
handler,s,Yandex,False
handler,f,Yandex,False
handler,o,Yandex,False
handler,r,Yandex,False
handler,m,Yandex,False
handler,.,Yandex,False
handler,j,Yandex,False
handler,s,Yandex,False
languages,af,Yandex,False
languages,am,Yandex,False
languages,ar,Yandex,False
languages,az,Yandex,False
languages,ba,Yandex,False
languages,be,Yandex,False
languages,be-tarask,Yandex,False
languages,bn,Yandex,False
languages,bg,Yandex,False
languages,bs,Yandex,False
languages,ca,Yandex,False
languages,ceb,Yandex,False
languages,cs,Yandex,False
languages,cv,Yandex,False
languages,cy,Yandex,False
languages,da,Yandex,False
languages,de,Yandex,False
languages,el,Yandex,False
languages,en,Yandex,False
languages,eo,Yandex,False
languages,es,Yandex,False
languages,et,Yandex,False
languages,eu,Yandex,False
languages,fa,Yandex,False
languages,fi,Yandex,False
languages,fr,Yandex,False
languages,ga,Yandex,False
languages,gd,Yandex,False
languages,gl,Yandex,False
languages,gu,Yandex,False
languages,he,Yandex,False
languages,hi,Yandex,False
languages,hr,Yandex,False
languages,ht,Yandex,False
languages,hu,Yandex,False
languages,hy,Yandex,False
languages,id,Yandex,False
languages,is,Yandex,False
languages,it,Yandex,False
languages,ja,Yandex,False
languages,jv,Yandex,False
languages,ka,Yandex,False
languages,kk,Yandex,False
languages,km,Yandex,False
languages,kn,Yandex,False
languages,ko,Yandex,False
languages,ky,Yandex,False
languages,la,Yandex,False
languages,lb,Yandex,False
languages,lo,Yandex,False
languages,lt,Yandex,False
languages,lv,Yandex,False
languages,mi,Yandex,False
languages,mg,Yandex,False
languages,mhr,Yandex,False
languages,ml,Yandex,False
languages,mk,Yandex,False
languages,mn,Yandex,False
languages,mrj,Yandex,False
languages,mr,Yandex,False
languages,ms,Yandex,False
languages,mt,Yandex,False
languages,my,Yandex,False
languages,nb,Yandex,False
languages,ne,Yandex,False
languages,nl,Yandex,False
languages,pa,Yandex,False
languages,pap,Yandex,False
languages,pl,Yandex,False
languages,pt,Yandex,False
languages,ro,Yandex,False
languages,ru,Yandex,False
languages,sah,Yandex,False
languages,sh,Yandex,False
languages,si,Yandex,False
languages,simple,Yandex,False
languages,sk,Yandex,False
languages,sl,Yandex,False
languages,sq,Yandex,False
languages,sr,Yandex,False
languages,su,Yandex,False
languages,sv,Yandex,False
languages,sw,Yandex,False
languages,ta,Yandex,False
languages,te,Yandex,False
languages,tg,Yandex,False
languages,th,Yandex,False
languages,tl,Yandex,False
languages,tr,Yandex,False
languages,tt,Yandex,False
languages,udm,Yandex,False
languages,uk,Yandex,False
languages,ur,Yandex,False
languages,uz,Yandex,False
languages,vi,Yandex,False
languages,wuu,Yandex,False
languages,xh,Yandex,False
languages,yi,Yandex,False
languages,zh,Yandex,False
en,zh,Youdao,False
en,wuu,Youdao,False
es,zh,Youdao,False
es,wuu,Youdao,False
fr,zh,Youdao,False
fr,wuu,Youdao,False
ja,zh,Youdao,False
ja,wuu,Youdao,False
ko,zh,Youdao,False
ko,wuu,Youdao,False
pt,zh,Youdao,False
pt,wuu,Youdao,False
ru,zh,Youdao,False
ru,wuu,Youdao,False
simple,zh,Youdao,False
simple,wuu,Youdao,False
zh,es,Youdao,False
zh,fr,Youdao,False
zh,ja,Youdao,False
zh,ko,Youdao,False
zh,pt,Youdao,False
zh,ru,Youdao,False
zh,simple,Youdao,False
zh,wuu,Youdao,False
